Account|AdminComment|AllocCPUS|AllocNodes|AllocTRES|AssocID|AveCPU|AveCPUFreq|AveDiskRead|AveDiskWrite|AvePages|AveRSS|AveVMSize|BlockID|Cluster|Comment|Constraints|ConsumedEnergy|ConsumedEnergyRaw|Container|CPUTime|CPUTimeRAW|DBIndex|DerivedExitCode|Elapsed|ElapsedRaw|Eligible|End|ExitCode|Flags|GID|Group|JobID|JobIDRaw|JobName|Layout|MaxDiskRead|MaxDiskReadNode|MaxDiskReadTask|MaxDiskWrite|MaxDiskWriteNode|MaxDiskWriteTask|MaxPages|MaxPagesNode|MaxPagesTask|MaxRSS|MaxRSSNode|MaxRSSTask|MaxVMSize|MaxVMSizeNode|MaxVMSizeTask|McsLabel|MinCPU|MinCPUNode|MinCPUTask|NCPUS|NNodes|NodeList|NTasks|Partition|Priority|QOS|QOSRAW|Reason|ReqCPUFreq|ReqCPUFreqGov|ReqCPUFreqMax|ReqCPUFreqMin|ReqCPUS|ReqMem|ReqNodes|ReqTRES|Reservation|ReservationId|Reserved|ResvCPU|ResvCPURAW|Start|State|Submit|SubmitLine|Suspended|SystemComment|SystemCPU|Timelimit|TimelimitRaw|TotalCPU|TRESUsageInAve|TRESUsageInMax|TRESUsageInMaxNode|TRESUsageInMaxTask|TRESUsageInMin|TRESUsageInMinNode|TRESUsageInMinTask|TRESUsageInTot|TRESUsageOutAve|TRESUsageOutMax|TRESUsageOutMaxNode|TRESUsageOutMaxTask|TRESUsageOutMin|TRESUsageOutMinNode|TRESUsageOutMinTask|TRESUsageOutTot|UID|User|UserCPU|WCKey|WCKeyID|WorkDir
mit_general||2|1|billing=2,cpu=2,mem=2000M,node=1|27871|||||||||eofe7|||0|0||01:26:24|5184|21104209|0:0|00:43:12|2592|2024-09-02T11:19:48|2024-09-02T12:04:27|0:0|SchedBackfill,StartRecieved|53176|sahughes|58033241|58033241|SlmHDF5ToYlmHDF5|||||||||||||||||||||2|1|node2005||sched_mit_mki_preempt_r8|1172|normal|1|None|Unknown|Unknown|Unknown|Unknown|1|1000M|1|billing=1,cpu=1,mem=1000M,node=1|||00:01:27|00:01:27|87|2024-09-02T11:21:15|COMPLETED|2024-09-02T11:19:48|srun --partition=sched_mit_mki_preempt_r8 --time=24:00:00 /home/sahughes/Gremlin/bin/SlmHDF5ToYlmHDF5 /nobackup1/sahughes/EqInsp/SAH_a0.70_p/SlmHDF5/a0.7000_p4.407141526_e0.025830078_xI1.000|00:00:00||00:00:00|1-00:00:00|1440|00:00:00|||||||||||||||||53176|sahughes|00:00:00||0|/nobackup1c/users/sahughes/EqInsp/SAH_a0.70_p
mit_general||2|1|billing=2,cpu=2,mem=2000M,node=1|27871|||||||||eofe7|||0|0||01:24:30|5070|21104210|0:0|00:42:15|2535|2024-09-02T11:20:00|2024-09-02T12:03:30|0:0|SchedBackfill,StartRecieved|53176|sahughes|58033242|58033242|SlmHDF5ToYlmHDF5|||||||||||||||||||||2|1|node2005||sched_mit_mki_preempt_r8|1172|normal|1|None|Unknown|Unknown|Unknown|Unknown|1|1000M|1|billing=1,cpu=1,mem=1000M,node=1|||00:01:15|00:01:15|75|2024-09-02T11:21:15|COMPLETED|2024-09-02T11:20:00|srun --partition=sched_mit_mki_preempt_r8 --time=24:00:00 /home/sahughes/Gremlin/bin/SlmHDF5ToYlmHDF5 /nobackup1/sahughes/EqInsp/SAH_a0.70_p/SlmHDF5/a0.7000_p4.437354022_e0.025830078_xI1.000|00:00:00||00:00:00|1-00:00:00|1440|00:00:00|||||||||||||||||53176|sahughes|00:00:00||0|/nobackup1c/users/sahughes/EqInsp/SAH_a0.70_p
mit_general||2|1|billing=2,cpu=2,mem=2000M,node=1|27871|||||||||eofe7|||0|0||01:23:30|5010|21104211|0:0|00:41:45|2505|2024-09-02T11:20:12|2024-09-02T12:03:00|0:0|SchedBackfill,StartRecieved|53176|sahughes|58033243|58033243|SlmHDF5ToYlmHDF5|||||||||||||||||||||2|1|node2005||sched_mit_mki_preempt_r8|1172|normal|1|None|Unknown|Unknown|Unknown|Unknown|1|1000M|1|billing=1,cpu=1,mem=1000M,node=1|||00:01:03|00:01:03|63|2024-09-02T11:21:15|COMPLETED|2024-09-02T11:20:12|srun --partition=sched_mit_mki_preempt_r8 --time=24:00:00 /home/sahughes/Gremlin/bin/SlmHDF5ToYlmHDF5 /nobackup1/sahughes/EqInsp/SAH_a0.70_p/SlmHDF5/a0.7000_p4.468187761_e0.025830078_xI1.000|00:00:00||00:00:00|1-00:00:00|1440|00:00:00|||||||||||||||||53176|sahughes|00:00:00||0|/nobackup1c/users/sahughes/EqInsp/SAH_a0.70_p
mit_general||2|1|billing=2,cpu=2,mem=2000M,node=1|27871|||||||||eofe7|||0|0||01:22:20|4940|21104212|0:0|00:41:10|2470|2024-09-02T11:20:24|2024-09-02T12:02:25|0:0|SchedBackfill,StartRecieved|53176|sahughes|58033244|58033244|SlmHDF5ToYlmHDF5|||||||||||||||||||||2|1|node2005||sched_mit_mki_preempt_r8|1172|normal|1|None|Unknown|Unknown|Unknown|Unknown|1|1000M|1|billing=1,cpu=1,mem=1000M,node=1|||00:00:51|00:00:51|51|2024-09-02T11:21:15|COMPLETED|2024-09-02T11:20:24|srun --partition=sched_mit_mki_preempt_r8 --time=24:00:00 /home/sahughes/Gremlin/bin/SlmHDF5ToYlmHDF5 /nobackup1/sahughes/EqInsp/SAH_a0.70_p/SlmHDF5/a0.7000_p4.499649256_e0.025830078_xI1.000|00:00:00||00:00:00|1-00:00:00|1440|00:00:00|||||||||||||||||53176|sahughes|00:00:00||0|/nobackup1c/users/sahughes/EqInsp/SAH_a0.70_p
mit_general||2|1|billing=2,cpu=2,mem=2000M,node=1|27871|||||||||eofe7|||0|0||01:22:10|4930|21104213|0:0|00:41:05|2465|2024-09-02T11:20:36|2024-09-02T12:02:20|0:0|SchedBackfill,StartRecieved|53176|sahughes|58033245|58033245|SlmHDF5ToYlmHDF5|||||||||||||||||||||2|1|node2005||sched_mit_mki_preempt_r8|1172|normal|1|None|Unknown|Unknown|Unknown|Unknown|1|1000M|1|billing=1,cpu=1,mem=1000M,node=1|||00:00:39|00:00:39|39|2024-09-02T11:21:15|COMPLETED|2024-09-02T11:20:36|srun --partition=sched_mit_mki_preempt_r8 --time=24:00:00 /home/sahughes/Gremlin/bin/SlmHDF5ToYlmHDF5 /nobackup1/sahughes/EqInsp/SAH_a0.70_p/SlmHDF5/a0.7000_p4.531745033_e0.025830078_xI1.000|00:00:00||00:00:00|1-00:00:00|1440|00:00:00|||||||||||||||||53176|sahughes|00:00:00||0|/nobackup1c/users/sahughes/EqInsp/SAH_a0.70_p
mit_general||2|1|billing=2,cpu=2,mem=2000M,node=1|27871|||||||||eofe7|||0|0||01:22:02|4922|21104214|0:0|00:41:01|2461|2024-09-02T11:20:48|2024-09-02T12:02:16|0:0|SchedBackfill,StartRecieved|53176|sahughes|58033246|58033246|SlmHDF5ToYlmHDF5|||||||||||||||||||||2|1|node2005||sched_mit_mki_preempt_r8|1172|normal|1|None|Unknown|Unknown|Unknown|Unknown|1|1000M|1|billing=1,cpu=1,mem=1000M,node=1|||00:00:27|00:00:27|27|2024-09-02T11:21:15|COMPLETED|2024-09-02T11:20:48|srun --partition=sched_mit_mki_preempt_r8 --time=24:00:00 /home/sahughes/Gremlin/bin/SlmHDF5ToYlmHDF5 /nobackup1/sahughes/EqInsp/SAH_a0.70_p/SlmHDF5/a0.7000_p4.564481626_e0.025830078_xI1.000|00:00:00||00:00:00|1-00:00:00|1440|00:00:00|||||||||||||||||53176|sahughes|00:00:00||0|/nobackup1c/users/sahughes/EqInsp/SAH_a0.70_p
mit_general||2|1|billing=2,cpu=2,mem=2000M,node=1|27871|||||||||eofe7|||0|0||01:19:40|4780|21104215|0:0|00:39:50|2390|2024-09-02T11:21:00|2024-09-02T12:01:05|0:0|SchedBackfill,StartRecieved|53176|sahughes|58033247|58033247|SlmHDF5ToYlmHDF5|||||||||||||||||||||2|1|node2005||sched_mit_mki_preempt_r8|1172|normal|1|None|Unknown|Unknown|Unknown|Unknown|1|1000M|1|billing=1,cpu=1,mem=1000M,node=1|||00:00:15|00:00:15|15|2024-09-02T11:21:15|COMPLETED|2024-09-02T11:21:00|srun --partition=sched_mit_mki_preempt_r8 --time=24:00:00 /home/sahughes/Gremlin/bin/SlmHDF5ToYlmHDF5 /nobackup1/sahughes/EqInsp/SAH_a0.70_p/SlmHDF5/a0.7000_p4.597865580_e0.025830078_xI1.000|00:00:00||00:00:00|1-00:00:00|1440|00:00:00|||||||||||||||||53176|sahughes|00:00:00||0|/nobackup1c/users/sahughes/EqInsp/SAH_a0.70_p
mit_general||2|1|billing=2,cpu=2,mem=2000M,node=1|27871|||||||||eofe7|||0|0||01:19:38|4778|21104216|0:0|00:39:49|2389|2024-09-02T11:21:12|2024-09-02T12:01:04|0:0|SchedBackfill,StartRecieved|53176|sahughes|58033248|58033248|SlmHDF5ToYlmHDF5|||||||||||||||||||||2|1|node2005||sched_mit_mki_preempt_r8|1172|normal|1|None|Unknown|Unknown|Unknown|Unknown|1|1000M|1|billing=1,cpu=1,mem=1000M,node=1|||00:00:03|00:00:03|3|2024-09-02T11:21:15|COMPLETED|2024-09-02T11:21:12|srun --partition=sched_mit_mki_preempt_r8 --time=24:00:00 /home/sahughes/Gremlin/bin/SlmHDF5ToYlmHDF5 /nobackup1/sahughes/EqInsp/SAH_a0.70_p/SlmHDF5/a0.7000_p4.631903449_e0.025830078_xI1.000|00:00:00||00:00:00|1-00:00:00|1440|00:00:00|||||||||||||||||53176|sahughes|00:00:00||0|/nobackup1c/users/sahughes/EqInsp/SAH_a0.70_p
mit_general||2|1|billing=2,cpu=2,mem=2000M,node=1|27871|||||||||eofe7|||0|0||01:19:02|4742|21104218|0:0|00:39:31|2371|2024-09-02T11:21:24|2024-09-02T12:02:46|0:0|SchedBackfill,StartRecieved|53176|sahughes|58033249|58033249|SlmHDF5ToYlmHDF5|||||||||||||||||||||2|1|node2005||sched_mit_mki_preempt_r8|1172|normal|1|None|Unknown|Unknown|Unknown|Unknown|1|1000M|1|billing=1,cpu=1,mem=1000M,node=1|||00:01:51|00:01:51|111|2024-09-02T11:23:15|COMPLETED|2024-09-02T11:21:24|srun --partition=sched_mit_mki_preempt_r8 --time=24:00:00 /home/sahughes/Gremlin/bin/SlmHDF5ToYlmHDF5 /nobackup1/sahughes/EqInsp/SAH_a0.70_p/SlmHDF5/a0.7000_p4.666601799_e0.025830078_xI1.000|00:00:00||00:00:00|1-00:00:00|1440|00:00:00|||||||||||||||||53176|sahughes|00:00:00||0|/nobackup1c/users/sahughes/EqInsp/SAH_a0.70_p
mit_general||32|1|billing=32,cpu=32,mem=125G,node=1|27608|||||||||eofe7|||0|0||00:57:04|3424|21104219|0:0|00:01:47|107|2024-09-02T11:21:32|2024-09-02T11:24:04|0:0|SchedMain,StartRecieved|120782|pablorf|58033250|58033250|transp_CMOD_29520P01_finish|||||||||||||||||||||32|1|node585||sched_mit_psfc|91773|normal|1|None|Unknown|Unknown|Unknown|Unknown|1|4000M|1|billing=1,cpu=1,mem=4000M,node=1|||00:00:45|00:00:45|45|2024-09-02T11:22:17|COMPLETED|2024-09-02T11:21:32|sbatch --wait /pool001/pablorf/scratch//transp_CMOD_29520P01/mitim_bash_finish.src|00:00:00||00:00:00|00:30:00|30|00:00:00|||||||||||||||||120782|pablorf|00:00:00||0|/pool001/pablorf/scratch/transp_CMOD_29520P01
